lhd,LGA,year,calc_rate,calc_LCI,calc_UCI,calc_inv
Murrumbidgee LHD,Murrumbidgee,2017,0.417,0.355,0.479,242
Murrumbidgee LHD,Murrumbidgee LHD,2017,0.396,0.39,0.402,27193
Murrumbidgee LHD,Narrandera,2017,0.353,0.314,0.391,587
Murrumbidgee LHD,Temora,2017,0.381,0.341,0.421,575
Murrumbidgee LHD,Tumbarumba,2017,0.408,0.353,0.463,309
Murrumbidgee LHD,Tumut Shire,2017,0.414,0.386,0.443,1146
Murrumbidgee LHD,Urana,2017,0.364,0.278,0.449,121
Murrumbidgee LHD,Wagga Wagga,2017,0.38,0.367,0.394,5221
Murrumbidgee LHD,Wakool,2017,0.427,0.377,0.477,370
Murrumbidgee LHD,Young,2017,0.385,0.358,0.411,1269
NSW,NSW,2017,0.368,0.366,0.369,686325
Nepean Blue Mountains LHD,Blue Mountains,2017,0.394,0.384,0.404,8810
Nepean Blue Mountains LHD,Hawkesbury,2017,0.347,0.335,0.359,6172
Nepean Blue Mountains LHD,Lithgow,2017,0.367,0.346,0.387,2049
Nepean Blue Mountains LHD,Nepean Blue Mountains LHD,2017,0.352,0.347,0.357,33509
Nepean Blue Mountains LHD,Penrith,2017,0.33,0.322,0.337,16478
Northern NSW LHD,Ballina,2017,0.411,0.396,0.425,4492
Northern NSW LHD,Byron,2017,0.365,0.349,0.381,3585
Northern NSW LHD,Clarence Valley,2017,0.395,0.383,0.408,5917
Northern NSW LHD,Kyogle,2017,0.417,0.387,0.448,1023
Northern NSW LHD,Lismore,2017,0.374,0.36,0.388,4667
Northern NSW LHD,Northern NSW LHD,2017,0.389,0.383,0.394,31567
Northern NSW LHD,Richmond Valley,2017,0.378,0.359,0.397,2426
Northern NSW LHD,Urbenville,2017,0.36,0.218,0.501,44
Northern NSW LHD,Tweed,2017,0.391,0.381,0.401,9413
Northern Sydney LHD,Hornsby,2017,0.386,0.378,0.393,16477
Northern Sydney LHD,Hunters Hill,2017,0.389,0.363,0.414,1389
Northern Sydney LHD,Ku-ring-gai,2017,0.392,0.383,0.4,12419
